study,income,method,part_gender,part_age,age3cat,aged_5_to_18,aged_over_18,hh_size,student,employment,weekday,tot_contacts,tot_contacts_no_add,tot_phys,tot_nonphys,tot_dur_under_1hr,tot_dur_1hr_plus,tot_home,tot_school,tot_work,tot_work_no_additional,tot_other,prop_home,prop_school,prop_work,prop_other,prop_cont_male,prop_cont_female,prop_cont_age1,prop_cont_age2,prop_cont_age3
Belgium_Mossong,HIC,Diary,Female,45,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium_Mossong,HIC,Diary,Female,54,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium_Mossong,HIC,Diary,Female,71,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium_Mossong,HIC,Diary,Female,22,2,0,1,2,1,0,1,12,12,1,11,4,8,3,6,0,0,3,.25,.5,0,.25,.1818181872,.8181818128,0,1,0
Belgium_Mossong,HIC,Diary,Female,21,2,0,1,4,1,0,1,24,24,6,18,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,.2916666567,.7083333135,0,1,0
Belgium_Mossong,HIC,Diary,Female,14,1,1,0,5,1,0,1,19,19,14,5,8,11,3,10,0,0,6,.1578947306,.5263158083,0,.3157894611,.3157894611,.6842105389,.6666666865,.2222222239,.1111111119
Belgium_Mossong,HIC,Diary,Male,79,3,0,1,2,0,0,0,4,4,3,1,2,2,4,0,0,0,0,1,0,0,0,0,1,0,.3333333433,.6666666865
Belgium_Mossong,HIC,Diary,Male,11,1,1,0,5,1,0,0,16,16,4,12,4,12,6,0,0,0,10,.375,0,0,.625,.5,.5,.6000000238,.2666666806,.1333333403
Belgium_Mossong,HIC,Diary,Female,25,2,0,1,1,0,1,1,13,13,4,9,9,4,2,0,8,8,3,.1538461596,0,.6153846383,.2307692319,.3846153915,.6153846383,0,.8333333135,.1666666716
Belgium_Mossong,HIC,Diary,Male,50,2,0,1,2,0,1,1,18,18,6,12,13,5,2,0,0,0,16,.1111111119,0,0,.8888888955,.4444444478,.555555582,0,.200000003,.8000000119
Belgium_Mossong,HIC,Diary,Male,70,3,0,1,2,0,0,0,13,13,11,2,12,1,3,0,0,0,10,.2307692319,0,0,.769230783,.4615384638,.538461566,.1666666716,.5,.3333333433
